Sample,Study,Site,Country,Lat,Long,Year,ENA,All samples same individual,Population,% callable,QC pass,Exclusion reason,Is returning traveller
PF0331-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042704,PF0331-C,WAF,85.42,TRUE,Analysis_set,FALSE
PF0332-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042718,PF0332-C,WAF,89.37,TRUE,Analysis_set,FALSE
PF0333-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042724,PF0333-C,WAF,53.81,TRUE,Analysis_set,FALSE
PF0334-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042636,PF0334-C,WAF,89.91,TRUE,Analysis_set,FALSE
PF0335-CW,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042688,PF0335-CW,WAF,88.38,TRUE,Analysis_set,FALSE
PF0336-CW,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042689,PF0336-CW,WAF,88.01,TRUE,Analysis_set,FALSE
PF0337-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039945,PF0337-C,WAF,89.09,TRUE,Analysis_set,FALSE
PF0338-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042646,PF0338-C,WAF,0.06,FALSE,Less_than_50pc_callable,FALSE
PF0339-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042647,PF0339-C,WAF,88.05,TRUE,Analysis_set,FALSE
PF0340-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042644,PF0340-C,WAF,0.39,FALSE,Less_than_50pc_callable,FALSE
PF0341-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042694,PF0341-C,WAF,88.8,TRUE,Analysis_set,FALSE
PF0342-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039975,PF0342-C,WAF,66.47,TRUE,Analysis_set,FALSE
PF0343-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042633,PF0343-C,WAF,4.48,FALSE,Less_than_50pc_callable,FALSE
PF0344-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042709,PF0344-C,WAF,88.47,TRUE,Analysis_set,FALSE
PF0345-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR211464,PF0345-C,WAF,87.65,FALSE,Mixed_species,FALSE
PF0346-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039920,PF0346-C,WAF,89.94,FALSE,Mixed_species,FALSE
PF0347-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR039944,PF0347-C,WAF,90.01,TRUE,Analysis_set,FALSE
PF0349-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR039887,PF0349-C,WAF,83.49,TRUE,Analysis_set,FALSE
PF0350-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042639,PF0350-C,WAF,90.51,TRUE,Analysis_set,FALSE
PF0351-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042634,PF0351-C,WAF,2.4,FALSE,Less_than_50pc_callable,FALSE
PF0352-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042637,PF0352-C,WAF,24.26,FALSE,Less_than_50pc_callable,FALSE
PF0353-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042697,PF0353-C,WAF,88.65,TRUE,Analysis_set,FALSE
PF0354-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042699,PF0354-C,WAF,89.23,TRUE,Analysis_set,FALSE
PF0355-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042693,PF0355-C,WAF,89.71,TRUE,Analysis_set,FALSE
PF0356-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042640,PF0356-C,WAF,89.5,TRUE,Analysis_set,FALSE
PF0357-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042702,PF0357-C,WAF,89.34,TRUE,Analysis_set,FALSE
PF0358-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042728,PF0358-C,WAF,0.97,FALSE,Less_than_50pc_callable,FALSE
PF0359-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039923,PF0359-C,WAF,89.89,TRUE,Analysis_set,FALSE
PF0360-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042726,PF0360-C,WAF,41.94,FALSE,Less_than_50pc_callable,FALSE
PF0361-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR223040,PF0361-C,WAF,91.08,TRUE,Analysis_set,FALSE
PF0362-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042715,PF0362-C,WAF,38.02,FALSE,Less_than_50pc_callable,FALSE
PF0363-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039973,PF0363-C,WAF,71.15,TRUE,Analysis_set,FALSE
PF0364-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042643,PF0364-C,WAF,83.94,TRUE,Analysis_set,FALSE
PF0365-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039982,PF0365-C,WAF,79.42,TRUE,Analysis_set,FALSE
PF0366-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039977,PF0366-C,WAF,89.44,TRUE,Analysis_set,FALSE
PF0367-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042708,PF0367-C,WAF,89.95,TRUE,Analysis_set,FALSE
PF0368-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039972,PF0368-C,WAF,90.31,TRUE,Analysis_set,FALSE
PF0369-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042638,PF0369-C,WAF,89.99,TRUE,Analysis_set,FALSE
PF0370-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039981,PF0370-C,WAF,87.84,TRUE,Analysis_set,FALSE
PF0371-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR211483,PF0371-C,WAF,90.37,TRUE,Analysis_set,FALSE
PF0372-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039924,PF0372-C,WAF,89.78,TRUE,Analysis_set,FALSE
PF0373-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039901,PF0373-C,WAF,90.43,TRUE,Analysis_set,FALSE
PF0374-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR216464,PF0374-C,WAF,91.04,TRUE,Analysis_set,FALSE
PF0375-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR211471,PF0375-C,WAF,91.23,TRUE,Analysis_set,FALSE
PF0376-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039928,PF0376-C,WAF,88.63,FALSE,Mixed_species,FALSE
PF0377-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042703,PF0377-C,WAF,76.3,TRUE,Analysis_set,FALSE
PF0378-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR211465,PF0378-C,WAF,90.44,TRUE,Analysis_set,FALSE
PF0380-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039942,PF0380-C,WAF,90.75,TRUE,Analysis_set,FALSE
PF0381-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR211473,PF0381-C,WAF,90.8,TRUE,Analysis_set,FALSE
PF0383-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042695,PF0383-C,WAF,88.2,TRUE,Analysis_set,FALSE
PF0385-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR216459,PF0385-C,WAF,91.08,TRUE,Analysis_set,FALSE
PF0386-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR216455,PF0386-C,WAF,89.81,TRUE,Analysis_set,FALSE
PF0388-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039891,PF0388-C,WAF,90.73,TRUE,Analysis_set,FALSE
PF0389-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039922,PF0389-C,WAF,90.65,TRUE,Analysis_set,FALSE
PF0390-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR223049,PF0390-C,WAF,91.12,TRUE,Analysis_set,FALSE
PF0392-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR211481,PF0392-C,WAF,90.16,TRUE,Analysis_set,FALSE
PF0393-CW,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042690,PF0393-CW,WAF,83.8,TRUE,Analysis_set,FALSE
PF0395-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR223045,PF0395-C,WAF,90.97,TRUE,Analysis_set,FALSE
PF0396-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039918,PF0396-C,WAF,90.45,TRUE,Analysis_set,FALSE
PF0397-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR216457,PF0397-C,WAF,90.48,TRUE,Analysis_set,FALSE
PF0398-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042700,PF0398-C,WAF,89.34,TRUE,Analysis_set,FALSE
PF0399-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042707,PF0399-C,WAF,89.53,TRUE,Analysis_set,FALSE
PF0400-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042701,PF0400-C,WAF,87.3,TRUE,Analysis_set,FALSE
PF0401-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039888,PF0401-C,WAF,89.86,TRUE,Analysis_set,FALSE
PF0404-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042705,PF0404-C,WAF,89.69,TRUE,Analysis_set,FALSE
PF0405-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042717,PF0405-C,WAF,66.35,TRUE,Analysis_set,FALSE
PF0406-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042721,PF0406-C,WAF,88.68,TRUE,Analysis_set,FALSE
PF0407-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042239,PF0407-C,WAF,89.16,TRUE,Analysis_set,FALSE
PF0408-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR216462,PF0408-C,WAF,90.87,TRUE,Analysis_set,FALSE
PF0409-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039971,PF0409-C,WAF,90.1,TRUE,Analysis_set,FALSE
PF0410-CW,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042691,PF0410-CW,WAF,89.08,TRUE,Analysis_set,FALSE
PF0411-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042235,PF0411-C,WAF,85.65,TRUE,Analysis_set,FALSE
PF0412-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039974,PF0412-C,WAF,90.07,TRUE,Analysis_set,FALSE
PF0413-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039935,PF0413-C,WAF,90.13,TRUE,Analysis_set,FALSE
PF0414-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039939,PF0414-C,WAF,79.99,TRUE,Analysis_set,FALSE
PF0415-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR211476,PF0415-C,WAF,90.46,TRUE,Analysis_set,FALSE
PF0417-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039979,PF0417-C,WAF,88.41,TRUE,Analysis_set,FALSE
PF0418-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042642,PF0418-C,WAF,90.49,TRUE,Analysis_set,FALSE
PF0419-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042727,PF0419-C,WAF,68.65,TRUE,Analysis_set,FALSE
PF0421-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039897,PF0421-C,WAF,90.55,TRUE,Analysis_set,FALSE
PF0422-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR211472,PF0422-C,WAF,90.12,TRUE,Analysis_set,FALSE
PF0423-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039938,PF0423-C,WAF,90,TRUE,Analysis_set,FALSE
PF0424-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR211477,PF0424-C,WAF,89.95,TRUE,Analysis_set,FALSE
PF0425-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042238,PF0425-C,WAF,88.62,TRUE,Analysis_set,FALSE
PF0427-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042237,PF0427-C,WAF,88.39,TRUE,Analysis_set,FALSE
PF0430-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042716,PF0430-C,WAF,89.95,TRUE,Analysis_set,FALSE
PF0431-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042713,PF0431-C,WAF,87.83,TRUE,Analysis_set,FALSE
PF0432-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039902,PF0432-C,WAF,90.23,TRUE,Analysis_set,FALSE
PF0433-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042698,PF0433-C,WAF,88.56,TRUE,Analysis_set,FALSE
PF0434-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042722,PF0434-C,WAF,88.74,TRUE,Analysis_set,FALSE
PF0437-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039937,PF0437-C,WAF,88.78,TRUE,Analysis_set,FALSE
PF0438-CW,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR043310,PF0438-CW,WAF,89.39,TRUE,Analysis_set,FALSE
PF0439-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042706,PF0439-C,WAF,88.38,TRUE,Analysis_set,FALSE
PF0440-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042712,PF0440-C,WAF,89.36,TRUE,Analysis_set,FALSE
PF0441-CW,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR043311,PF0441-CW,WAF,89.05,TRUE,Analysis_set,FALSE
PF0442-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039978,PF0442-C,WAF,89.57,TRUE,Analysis_set,FALSE
PF0443-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039980,PF0443-C,WAF,89.35,TRUE,Analysis_set,FALSE
PF0444-CW,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR043312,PF0444-CW,WAF,89.61,TRUE,Analysis_set,FALSE
PF0445-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042719,PF0445-C,WAF,89.54,TRUE,Analysis_set,FALSE
PF0446-CW,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR043313,PF0446-CW,WAF,88.12,TRUE,Analysis_set,FALSE
PF0447-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR039994,PF0447-C,WAF,90.36,TRUE,Analysis_set,FALSE
PF0448-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR042236,PF0448-C,WAF,89.4,TRUE,Analysis_set,FALSE
PF0449-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR216458,PF0449-C,WAF,90.51,TRUE,Analysis_set,FALSE
PF0450-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR211462,PF0450-C,WAF,90.41,TRUE,Analysis_set,FALSE
PF0451-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR042641,PF0451-C,WAF,89.91,TRUE,Analysis_set,FALSE
PF0452-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR039925,PF0452-C,WAF,89.95,TRUE,Analysis_set,FALSE
PF0453-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114374,PF0453-C,WAF,90.29,TRUE,Analysis_set,FALSE
PF0454-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR063566,PF0454-C,WAF,90.1,TRUE,Analysis_set,FALSE
PF0456-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR063570,PF0456-C,WAF,89.98,TRUE,Analysis_set,FALSE
PF0458-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114381,PF0458-C,WAF,91.09,TRUE,Analysis_set,FALSE
PF0461-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114375,PF0461-C,WAF,90.91,TRUE,Analysis_set,FALSE
PF0463-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR063563,PF0463-C,WAF,90.69,TRUE,Analysis_set,FALSE
PF0464-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR063569,PF0464-C,WAF,90.68,TRUE,Analysis_set,FALSE
PF0465-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR069572,PF0465-C,WAF,90.9,TRUE,Analysis_set,FALSE
PF0466-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR069565,PF0466-C,WAF,43.5,FALSE,Less_than_50pc_callable,FALSE
PF0467-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114371,PF0467-C,WAF,90.29,TRUE,Analysis_set,FALSE
PF0469-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114356,PF0469-C,WAF,90.85,TRUE,Analysis_set,FALSE
PF0471-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114369,PF0471-C,WAF,91.11,TRUE,Analysis_set,FALSE
PF0472-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR063567,PF0472-C,WAF,90.16,TRUE,Analysis_set,FALSE
PF0473-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR063561,PF0473-C,WAF,90.33,TRUE,Analysis_set,FALSE
PF0477-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR063559,PF0477-C,WAF,90.76,TRUE,Analysis_set,FALSE
PF0479-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR063560,PF0479-C,WAF,90.59,TRUE,Analysis_set,FALSE
PF0480-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114379,PF0480-C,WAF,90.84,TRUE,Analysis_set,FALSE
PF0482-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114409,PF0482-C,WAF,90.3,TRUE,Analysis_set,FALSE
PF0484-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114382,PF0484-C,WAF,90.91,TRUE,Analysis_set,FALSE
PF0485-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114383,PF0485-C,WAF,88.85,TRUE,Analysis_set,FALSE
PF0486-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114366,PF0486-C,WAF,90.37,TRUE,Analysis_set,FALSE
PF0487-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR114357,PF0487-C,WAF,91.06,TRUE,Analysis_set,FALSE
PF0488-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114377,PF0488-C,WAF,90.58,TRUE,Analysis_set,FALSE
PF0489-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR114358,PF0489-C,WAF,90.33,TRUE,Analysis_set,FALSE
PF0491-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114406,PF0491-C,WAF,90.27,TRUE,Analysis_set,FALSE
PF0492-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114407,PF0492-C,WAF,90.13,TRUE,Analysis_set,FALSE
PF0493-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR114367,PF0493-C,WAF,90.34,TRUE,Analysis_set,FALSE
PF0494-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114404,PF0494-C,WAF,90.6,TRUE,Analysis_set,FALSE
PF0499-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114376,PF0499-C,WAF,90.83,TRUE,Analysis_set,FALSE
PF0502-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR069570,PF0502-C,WAF,90.68,TRUE,Analysis_set,FALSE
PF0504-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR063568,PF0504-C,WAF,90.76,TRUE,Analysis_set,FALSE
PF0507-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114405,PF0507-C,WAF,90.3,TRUE,Analysis_set,FALSE
PF0510-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR069571,PF0510-C,WAF,90.87,TRUE,Analysis_set,FALSE
PF0511-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114408,PF0511-C,WAF,90.71,TRUE,Analysis_set,FALSE
PF0512-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR063565,PF0512-C,WAF,90.15,TRUE,Analysis_set,FALSE
PF0513-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR211470,PF0513-C,WAF,90.2,TRUE,Analysis_set,FALSE
PF0514-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR114378,PF0514-C,WAF,90.69,TRUE,Analysis_set,FALSE
PF0515-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114362,PF0515-C,WAF,90.46,TRUE,Analysis_set,FALSE
PF0518-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114352,PF0518-C,WAF,90.62,TRUE,Analysis_set,FALSE
PF0519-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR211457,PF0519-C,WAF,90.47,TRUE,Analysis_set,FALSE
PF0522-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2010,ERR063562,PF0522-C,WAF,90.63,TRUE,Analysis_set,FALSE
PF0524-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114380,PF0524-C,WAF,90.58,TRUE,Analysis_set,FALSE
PF0525-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR114384,PF0525-C,WAF,90.19,TRUE,Analysis_set,FALSE
PF0529-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR114355,PF0529-C,WAF,91.01,TRUE,Analysis_set,FALSE
PF0531-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2009,ERR063564,PF0531-C,WAF,90.3,TRUE,Analysis_set,FALSE
PF0539-C,1017-PF-GH-AMENGA-ETEGO,Navrongo,Ghana,10.885568,-1.086617,2011,ERR114365,PF0539-C,WAF,90.77,TRUE,Analysis_set,FALSE
